date,n_killed,address,lat,long,
01/01/2016,0,Fairmount Street Boston,42.2802945,-71.0778626,
01/01/2016,0,Hobart St and Myrtle St Meriden,41.5401951,-72.7916813,
01/01/2016,0,12th Street and Denver Avenue Kansas City,39.0978568,-94.5242503,
01/01/2016,0,39th Street and U.S. 71 Kansas City,-20.1546073,57.5214663,
01/01/2016,2,3700 block of E. Whittaker Ave Cudahy,42.9654931,-87.8597579,
01/01/2016,0,1013 31st Street Kenner,30.0109762,-90.2573905,
01/01/2016,1,2235 Chestnut Hills Drive Lakeland,28.0595708,-81.9945219,
01/01/2016,0,10th Street Philadelphia,39.9291681,-75.1638118,
01/01/2016,1,23400 block of South Avalon Boulevard Carson,33.8126933,-118.2650379,
01/01/2016,0,Yarnell Road Knoxville,35.9318664,-84.1573211,
01/01/2016,1,500 block of 8th Avenue S.E. Minneapolis,44.9849588,-93.2449058,
01/01/2016,0,9W Esopus,41.7645735,-73.9630269,
01/01/2016,0,North Main Street Paterson,40.9259758,-74.1725319,
01/01/2016,1,400 block of West 60th Savannah,32.0405565,-81.1133244,
01/01/2016,0,Bush Street Brooklyn,40.6744212,-74.0065817,
01/01/2016,0,6300 block of Dunkirk Street Portsmouth,36.8681723,-76.4015692,
01/01/2016,0,1500 block of Bonne Femme Church Road Columbia,38.87739,-92.2606666,
01/01/2016,0,150 Dauphin St Mobile,30.6922441,-88.0447567,
01/01/2016,0,6500 block of Brown Station Road Columbia,39.0201122,-92.2691752,
01/01/2016,0,2500 block of Lagena Street Memphis,35.0758691,-90.0153171,
01/01/2016,0,Pegoda and Pinecrest streets Trinity,-20.1546073,57.5214663,
01/01/2016,2,5815 North University Drive Fort Lauderdale (Tamarac),26.1961109,-80.2550121,
01/01/2016,0,1800 block of Main Street Kansas City,39.0917891,-94.5857617,
01/01/2016,0,450 block of Anjou Drive Grand Junction,39.0746068,-108.4927282,
01/01/2016,0,102nd Street and Wheeling Avenue Kansas City,38.9410338,-94.5205311,
01/01/2016,0,Statesville Road and WT Harris Boulevard Charlotte,35.3466038,-80.8437297,
01/01/2016,0,1000 block of Hugo St. Norfolk,36.8914971,-76.2477575,
01/01/2016,0,1204 N. Wall Avenue Farmington,36.7435496,-108.2053284,
01/01/2016,1,1000 block of South Fourth Street Memphis,35.1198999,-90.053286,
01/01/2016,1,2700 block of University Avenue Bakersfield,35.4052104,-118.9651736,
01/01/2016,1,3600 block of Pine Avenue Birmingham,33.452716,-86.8939455,
01/01/2016,1,East Centennial Parkway and North Lamb Boulevard North Las Vegas,36.276629,-115.0822228,
01/01/2016,1,12345 Bellaire Blvd Houston,29.7023722,-95.6022409,
01/01/2016,0,West 9th and Chestnut Street Erie,42.1234243,-80.0939901,
01/01/2016,1,15000 block of E. Truman Road Independence,39.0937723,-94.4013721,
01/01/2016,1,12300 block of Cadley Circle Jacksonville (Dinsmore),30.4544633,-81.7621564,
01/01/2016,1,1300 block of McConihe Street Jacksonville,30.3463255,-81.6779516,
01/01/2016,0,8000 block of South Paxton Avenue Chicago,41.7495645,-87.573634,
01/01/2016,0,5900 block of South Waverly Road Lansing,42.6719956,-84.605756,
01/01/2016,0,640 29th Street South Saint Petersburg,27.7640791,-82.6745643,
01/01/2016,0,6547 TC Jester Houston,29.8589835,-95.4613691,
01/01/2016,0,Hageman and Saturn Avenue Salina,-20.1546073,57.5214663,
01/01/2016,0,Lake Shore Drive and Lawrence Chicago,-20.1546073,57.5214663,
01/01/2016,0,Meadows Drive Destrehan,29.9558066,-90.3792709,
01/01/2016,0,5300 block of Ruskin Avenue Saint Louis,38.6904432,-90.2455531,
01/01/2016,0,255 Tyro Road Lexington,35.7961469,-80.3174781,
01/01/2016,0,Westminster Lane and Picadilly Lane Stafford,38.4781198,-77.4124226,
01/01/2016,0,2800 block of W. 59th Chicago,41.78666,-87.6959991,
01/01/2016,0,1000 block of St. Paul Street Indianapolis,39.7529215,-86.1257476,
01/01/2016,0,744 Grape Street Medford,42.3164632,-122.8696009,
01/01/2016,0,2609 3rd Avenue South Saint Petersburg,27.7685263,-82.6709756,
01/01/2016,0,9200 block of South Drexel Avenue Chicago,41.7274436,-87.603438,
01/01/2016,0,7000 block of Krause Avenue Oakland,37.7665183,-122.1818477,
01/01/2016,0,9800 block of South Beverly Avenue Chicago,41.7157199,-87.6629731,
01/01/2016,0,W. 50th Street and N. Boulder Tulsa,36.2257778,-95.9998544,
01/01/2016,1,Galley Road and Space Center Drive Colorado Springs,38.8464055,-104.725122,
01/01/2016,0,1160 Lincoln Street Denver,39.7349544,-104.987852,
01/01/2016,0,2046 Del Mar Drive Colorado Springs,38.8023892,-104.7769129,
01/01/2016,1,121 North Castle Rd Milford,-20.1546073,57.5214663,
01/01/2016,0,South Easy Street Airway Heights,47.6482973,-117.5967805,
01/01/2016,0,800 block of South Kirkman Road Orlando,28.5318545,-81.4619652,
01/01/2016,0,401 S. Ridge Street Danville,36.5831414,-79.3937497,
01/01/2016,1,2 Gardener Circle Natchez,-20.1546073,57.5214663,
01/01/2016,0,Louisiana 59 Mandeville,30.3831131,-90.0525178,
01/01/2016,1,1200 block of West Wingfield Altus,34.631992,-99.3502526,
01/01/2016,1,33rd Avenue Hilo,-20.1546073,57.5214663,
01/01/2016,0,13100 block of Stonefield Houston,29.9753759,-95.4356473,
01/01/2016,0,3600 block of Chemawa Road NE Salem,45.0051713,-122.9956218,
01/01/2016,0,15302 Judson Road San Antonio,29.5889735,-98.3796981,
01/01/2016,1,Raytown Road and 101st Street Kansas City,-20.1546073,57.5214663,
01/01/2016,0,Princeton Place Lafayette,40.0052945,-105.1303523,
01/01/2016,1,I-75 and State Route 129 Middletown (Liberty Township),-20.1546073,57.5214663,
01/01/2016,0,Green Chapman Road Gaston (county),35.27711,-81.0720517,
01/01/2016,0,27000 block of Tree Lane Montgomery (county),-20.1546073,57.5214663,
01/01/2016,2,Kukulu Street Kapolei,21.3245739,-158.076987,
01/01/2016,0,E. 6th and Franklin Street Waterloo,-20.1546073,57.5214663,
01/01/2016,0,Lafayette and Sycamore Street Waterloo,-20.1546073,57.5214663,
01/01/2016,0,1731 E Holly St Goldsboro,35.383318,-77.9685277,
01/01/2016,0,Primrose Lane Pendergrass,34.2007322,-83.6496828,
01/01/2016,0,600 block of Denison Street Baltimore,39.2945545,-76.6766784,
01/01/2016,0,Park Street Hartford,41.758229,-72.6972706,
01/01/2016,0,5400 block of Winchester Chicago,-20.1546073,57.5214663,
01/01/2016,0,100 block of East Bailey Street Ponder,33.1832201,-97.2895393,
01/01/2016,1,16000 block of Nathan Circle Bauxite,34.4985258,-92.4220212,
01/01/2016,1,214 Broadway Drive Hattiesburg,31.3160514,-89.3063854,
01/01/2016,0,31st and Garnett Road Tulsa,36.052496,-95.853184,
01/01/2016,0,1400 block of North Texas 360 Mansfield,32.5851001,-97.0790513,
01/01/2016,0,9442 West National Avenue Milwaukee (West Allis),43.0032598,-88.0327558,
01/01/2016,0,Route 130 Gloucester City (Brooklawn),39.8912135,-75.1059882,
01/01/2016,0,12446 Southeast Powell Boulevard Portland,45.4969374,-122.5369024,
01/01/2016,0,2800 block of The Alameda Baltimore,39.3233206,-76.5955732,
01/01/2016,2,5723 11th Street East Bradenton,27.4389898,-82.5542287,
01/01/2016,0,100 block of Columbia Street Pasadena,-20.1546073,57.5214663,
01/01/2016,0,700 block of Jefferson Street NW Washington,38.9549914,-77.0246352,
01/01/2016,0,2300 block of 11th Street NW Washington,38.9208315,-77.0293646,
01/01/2016,1,8202 Melrose Lane El Cajon,32.8260718,-116.9282337,
01/01/2016,0,Bragg Boulevard Fayetteville,35.1009927,-78.9601506,
01/01/2016,0,North Longstreet Street Kingstree,33.6763185,-79.8345003,
01/01/2016,1,Spruce Street Mount Morris,43.116401,-83.7008748,
01/01/2016,0,Six Mile Run Road Six Mile Run,40.1598024,-78.2390453,
01/01/2016,1,300 block of Senate Drive Westwego (Avondale),29.9126259,-90.227777,
01/01/2016,0,Rysing Drive Wilmington (Edgemoor),39.7576069,-75.5037485,
01/01/2016,0,104 12th Avenue NW Decatur,34.6045057,-87.0045267,
01/01/2016,1,Colorado 112 and Broadway Street Center,37.7482236,-106.1145033,
01/01/2016,0,1100 block of Douglas Street Alexandria,38.8176934,-77.0509555,
01/01/2016,0,1200 block of Avon Avenue Atlanta,33.7222551,-84.4296208,
01/01/2016,0,1 block of Donaldson Road Buffalo,42.9185273,-78.8543079,
01/01/2016,0,1 block of Robin Road Carpentersville,42.120517,-88.2524717,
01/01/2016,1,6100 block of South Sangamon Street Chicago (Englewood),41.7831654,-87.6510335,
01/01/2016,1,200 block of Estancia N.W. Albuquerque,35.0825541,-106.7056435,
01/01/2016,0,1300 block of Wallwood Drive Brandon,27.9597943,-82.3230124,
01/01/2016,0,295 Ralph Avenue Brooklyn,40.6793262,-73.9240332,
01/01/2016,0,1100 block of Green Run Square Virginia Beach,36.801744,-76.0887536,
01/01/2016,0,South Salina Street Syracuse,43.01842,-76.1440877,
01/01/2016,0,341 Clinton Street Binghamton,42.1105828,-75.9401888,
01/01/2016,0,Pennsylvania Avenue and Wilson Place Freeport,-20.1546073,57.5214663,
01/01/2016,0,Fulton Street Brooklyn,41.5939432,-83.8946673,
01/01/2016,1,Jefferson Avenue Gastonia,35.2437636,-81.1135917,
01/01/2016,0,24000 block of Soboba Road Hemet,33.7585363,-116.9212983,
01/01/2016,1,Roosevelt Boulevard Lexington,38.0678682,-84.5068063,
