address,lat,long
Sea Drift Way Sacramento,38.4656212,-121.4609201
1917 Prospect Ave Kansas City,39.0887845,-94.553893
5700 block of Wickfield Drive New Orleans,30.0164557,-90.0711597
4600 block of Columbus Street Virginia Beach,36.8410355,-76.138036
1711 Kansas Avenue Kansas City,39.091534,-94.5506833
73rd Street and King Drive Chicago,41.7620724,-87.6173757
39553-39833 Sierra Dr Three Rivers,36.4146876,-118.9281998
4800 block of North Sheridan Road Chicago,41.9692082,-87.6575435
"4400 Dorchester Road, Suite 115 North Charleston",32.854492,-80.0153355
616 E. 52nd Street Brooklyn,40.6454343,-73.9301568
2300 block of Paris St Aurora,39.7512371,-104.850136
99 Horse Hollow Rd Locust Valley,40.8873828,-73.5940824
2900 block of Pate Drive Fort Worth,32.7157023,-97.2618973
Dwight St Jersey City,40.7032561,-74.0854588
6000 block of South Cottage Grove Avenue Chicago,41.786734,-87.6097763
441 N Perry St Pontiac,42.648172,-83.2896836
472 Marcy Avenue Brooklyn,40.6988619,-73.9524317
West Mobile Street Florence,34.798226,-87.6875897
11300 block of South Forest Avenue Chicago,41.6890562,-87.6178882
2500 block of 5th Street Meridian,32.3624468,-88.7043966
2600 block of Connecticut Avenue Stockton,37.9218052,-121.3006537
1600 block of Northwest 7th Lane Pompano Beach,26.2488177,-80.1373926
600 block of N. Carrollton Ave Baltimore,39.2955978,-76.6395662
600 block of Woodlawn Avenue Rockford,42.2783688,-89.0976061
6300 block of Reagan Drive Charlotte,35.2837012,-80.7764026
3192 16th St San Francisco,37.7649455,-122.4260423
194 C Mays Rd Greensburg,37.1970862,-85.5238938
Seventh Street Campbell,-20.1001924,57.5646011
2700 block of Stanton Road Washington,38.8578425,-76.9897343
5405 N. Lincoln Blvd Oklahoma City,35.5253135,-97.5058265
1100 block of Deutz Ave Trenton (Hamilton Township),40.1981411,-74.7513025
Farmview Ct SE Grand Rapids (Kentwood),42.8739727,-85.607367
11th Street and Mead Wichita,37.7053653,-97.4068962
3400 block of Wilson Avenue Oakland,-20.1001924,57.5646011
Yosemite Avenue and Cleveland Madera,-20.1001924,57.5646011
3155 Main St Hartford,41.7949574,-72.6669191
Grove Street Brooklyn,40.7019375,-73.9143386
1445 Lincoln Place Brooklyn,40.6697799,-73.9309376
221 SE Lawrence St Topeka,39.0524221,-95.6572325
Oakwood Street Inkster,42.3031128,-83.3322512
743 Locust Avenue Clarksburg,39.2830326,-80.3505002
1485 W 46th St Hialeah,25.8643112,-80.3144028
2400 block of Royal Lane Dallas,32.8957899,-96.9008314
300 block of S. Outlook Rd. Granger,-20.1001924,57.5646011
2000 block of North Bensing Rd Hobbs,32.7222889,-103.1809478
62nd and College Ave Indianapolis,39.867914,-86.1482847
Livingston St. and 18th Avenue Newark,40.7291496,-74.1937258
Murray Hill St Detroit,42.4229858,-83.21038
624 Williams Road Salinas,36.6799193,-121.6067642
2400 block of Park Avenue Kansas City,-20.1001924,57.5646011
5100 Parrish St Philadelphia,39.9672253,-75.2249672
1000 Ross Municipal Dr Saylorsburg,-20.1001924,57.5646011
Mission Street Montclair,40.8056893,-74.2149553
7100 block of Long Canyon Trail Dallas,32.6412031,-96.9502632
4200 block of Kossuth Ave Saint Louis,38.670599,-90.2301542
1200 block of Second Street Wilmington,-20.1001924,57.5646011
395 East 48th Street Brooklyn,40.6521839,-73.9343246
1100 block of Mt. Vernon Ave Portsmouth,36.8363657,-76.3381711
1100 block of Divinity Street Philadelphia,39.9438938,-75.2217201
4601 SE 79 Oklahoma City,35.3867243,-97.4384439
376 Walnut St York,39.9672697,-76.7228764
1738 Telegraph Avenue San Francisco,37.8075378,-122.2720627
1600 block of North Avenue Port Norris,39.26488,-75.0261837
2272 Scottwood Ave Toledo,41.6659697,-83.5609601
3217 Center Point Rd Chesterfield,-20.1001924,57.5646011
100 block of South Springfield Chicago,41.8797828,-87.7253737
1011 W. Wilson Chicago,41.96516,-87.6574129
1200 block of S. Carey St Baltimore,39.2805141,-76.6376755
Middle Rose St and Brunswick Ave Trenton,40.2281286,-74.7633171
214 Willis St Latta,34.3307628,-79.4355367
2600 block of Cedar and 2600 block of 18th Avenue South Minneapolis,-20.1001924,57.5646011
1050 Southeast 6th Street Lake Butler,30.0198897,-82.3285984
1300 block of 104th Avenue Oakland,37.7388914,-122.1714781
2500 block of Pinckney Avenue Charlotte,35.2406182,-80.8116717
5000 block of Durant Ave Saint Louis,38.6879893,-90.2478422
9300 block of Sunrise Boulevard Gary,41.597053,-87.2277717
Reservoir Ave and Grandview Ave Bridgeport,41.2205187,-73.195052
204 Varick St New York,40.7284492,-74.0073128
First Street and Pierce Street NW Washington,38.904688,-77.0143627
80 Finley Road Marion,35.6871489,-82.0222113
1609 South Nevada Colorado Springs,38.8111637,-104.8240684
4630 Anderson Livsey Lane Snellville,33.7708689,-84.0520319
2209 W Nob Hill Blvd Yakima,46.5858361,-120.541231
1336 Isaac Hull Ave Washington Navy Yard,38.8728839,-76.9998571
700 block of North Airport Way Stockton,37.9625189,-121.2780358
1500 block of Ottawa Street Lansing,42.7349529,-84.5752374
1300 block of Bartlett Avenue Las Vegas,36.2003131,-115.1607454
Flying Fortress Avenue Kissimmee,28.3106806,-81.4484732
1033 Whitaker Memphis,35.0410929,-90.0318888
1809 W 50th St Chicago,41.8025847,-87.6724058
6500 block of Rose Avenue Long Beach,33.8728307,-118.1730325
700 block of NW 0149 Rice,-20.1001924,57.5646011
2600 block of Forest Hill Boulevard Palm Beach,26.6503313,-80.0839451
3916 North Florissant Road Saint Louis,38.6621771,-90.2082399
149 Ottawa Ave Muskegon,-20.1001924,57.5646011
100 block of N. Mead Wichita,37.6860705,-97.331032
300 W 7th Ave Huntington,38.4138458,-82.4624441
1003 W. Main St Haw River,36.0931259,-79.3838531
753 Putnam Ave Zanesville,39.9268149,-82.0093296
6000 block of South Indiana Avenue Chicago,41.7853303,-87.623102
North 42nd and Browne streets Omaha,-20.1001924,57.5646011
2020 Hobson Rd Fort Wayne,41.0955687,-85.0997662
3883 E. Calwa #114 Fresno,-20.1001924,57.5646011
102 Zelmer Street Buffalo,42.9126056,-78.8096107
11120 W Van Buren St Avondale,33.4504677,-112.3036583
54th St. and Florence Ave Philadelphia,39.9429539,-75.2289786
US 206 Tabernacle,39.8131654,-74.7379519
400 block of NE 6th Street Paris,-20.1001924,57.5646011
12000 E 31st St Tulsa,36.1175793,-95.8466023
650 S Main St Wilkes Barre,41.2346371,-75.903803
1524 Walnut St Harrisburg,40.2692656,-76.8704562
7400 block of Santa Monica Drive Margate,26.2503122,-80.2258535
19600 block of Southwest 168th Street Miami,25.6082446,-80.5118169
7200 block of Kelly Street Pittsburgh (Homewood),40.4555156,-79.8991962
85 Saint John St New Haven,41.3073292,-72.9143778
NW 187 Street and 30 Avenue Miami Gardens,-20.1001924,57.5646011
17th Avenue and Hazelwood Street Phoenix,33.5042333,-112.0978289
500 block of Edgemore Drive Beaumont,30.0715752,-94.1506771
6th Street and Hampton Roseville,38.7366627,-121.2956551
115 Turner St Southern Pines,35.1632127,-79.4259175
200 block of Princeton Avenue Vallejo,38.1517283,-122.25178
Callison Highway Bradley (Callison),-20.1001924,57.5646011
355 Shelby Avenue Radcliff,37.8144369,-85.9190869
2900 block of Perris Boulevard Perris,33.8249256,-117.2288983
1 World Way Los Angeles,33.9454415,-118.4056141
3900 block of Minnesota Ave Washington,38.8933849,-76.9529693
1100 block of Randolph Jacksonville,-20.1001924,57.5646011
Conley and 7 Mile Detroit,-20.1001924,57.5646011
7300 block of Enchanted Creek Drive Cypress,29.8841066,-95.7207645
1215 Tuscarawas St W Canton,40.8007789,-81.3883587
5800 South 53rd Glen Phoenix,33.3933579,-112.1766822
318 Maujer St Brooklyn,40.7120453,-73.9385161
4400 block of Tiffany Houston,-20.1001924,57.5646011
8200 block of Sunbury Houston,29.822207,-95.2783076
1400 block of N. 60th Street Philadelphia,39.9728483,-75.2421073
Westminster Ave and Paxson St Philadelphia,-20.1001924,57.5646011
5100 Parrish St Philadelphia,39.9672253,-75.2249672
Pine Street and Harvard Avenue Tulsa,36.2640337,-95.9400143
96th Avenue and Olive Street Oakland,37.7488181,-122.1672356
1611 E Lake St Minneapolis,44.9482046,-93.2528317
St. Paul Boulevard and Andrews Street Rochester,-20.1001924,57.5646011
3400 block of East 34th Street Indianapolis,39.8197605,-86.0695587
Oleander and Modoc Fresno,-20.1001924,57.5646011
Gordon Street and North Ashley Street Valdosta,-20.1001924,57.5646011
NW 64th Street and 12th Avenue Miami,25.8336667,-80.2251146
1629 SW Central Park Topeka,39.0376018,-95.6926007
3421 Kirkwood Hwy Wilmington,39.736051,-75.6347727
N George St and North St York,-20.1001924,57.5646011
167 Wallace Springs Statesville,35.7586999,-80.8952066
900 block of Ashland Boulevard Channelview,29.7914145,-95.1370476
Jersey Street and Home Avenue Trenton,40.205042,-74.7538797
Jose Street Shelby,35.2867534,-81.5482094
2300 block of W McMillan Rd Muskegon,43.3122192,-86.3021185
33A Cedarhurst Ave Medford,40.8406691,-72.992741
Nye Avenue and 21st Street Irvington,40.7318959,-74.217197
313 Tenth St Lockport,41.5871761,-88.0566964
954 Highland Ave Montgomery,32.3718469,-86.2976632
2400 block of El Toro Rd Duarte,34.1204321,-117.9944258
300 block of Seventh Street Northeast Barberton,41.0185724,-81.587466
60 Glenmore Ave Brooklyn,40.6710703,-73.9109113
104th Ave and Walnut St Oakland,37.7406703,-122.1680911
